 rod_temps    0.0000000000000000     
 Rod ,           1
 rod_temps   0.62000000000000022     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  580.628204  580.596653  580.512766  580.341373  580.014954  579.419443  578.375818  576.621811  573.799765  569.514563  557.677870  555.507449 
Temperature ,  580.628345  580.596859  580.513160  580.342191  580.016685  579.423060  578.383169  576.636224  573.826838  569.562750  557.787092  555.638054 
Temperature ,  580.628433  580.596992  580.513422  580.342758  580.017927  579.425746  578.388828  576.647717  573.849185  569.603867  557.883644  555.754930 
Temperature ,  580.628488  580.597077  580.513595  580.343144  580.018803  579.427712  578.393123  576.656763  573.867420  569.638611  557.968285  555.858787 
Temperature ,  580.628521  580.597129  580.513705  580.343399  580.019404  579.429111  578.396297  576.663712  573.881975  569.667402  558.041230  555.949698 
Temperature ,  580.628540  580.597159  580.513773  580.343562  580.019802  579.430077  578.398577  576.668904  573.893302  569.690730  558.102853  556.027875 
Temperature ,  580.628551  580.597177  580.513813  580.343662  580.020058  579.430720  578.400160  576.672667  573.901870  569.709150  558.153707  556.093709 
Temperature ,  580.628556  580.597187  580.513836  580.343722  580.020215  579.431134  578.401222  576.675303  573.908147  569.723272  558.194551  556.147803 
Temperature ,  580.628559  580.597192  580.513849  580.343755  580.020308  579.431389  578.401906  576.677081  573.912584  569.733742  558.226343  556.190997 
Temperature ,  580.628560  580.597194  580.513855  580.343773  580.020360  579.431539  578.402327  576.678230  573.915595  569.741216  558.250216  556.224362 
Temperature ,  580.628561  580.597195  580.513858  580.343782  580.020388  579.431622  578.402574  576.678938  573.917549  569.746326  558.267423  556.249170 
Temperature ,  580.628561  580.597196  580.513859  580.343787  580.020402  579.431666  578.402711  576.679351  573.918753  569.749655  558.279262  556.266826 
Temperature ,  580.628561  580.597196  580.513860  580.343788  580.020408  579.431687  578.402781  576.679577  573.919452  569.751707  558.286989  556.278781 
Temperature ,  580.628561  580.597196  580.513860  580.343789  580.020410  579.431696  578.402813  576.679690  573.919830  569.752894  558.291736  556.286426 
Temperature ,  580.628561  580.597196  580.513860  580.343788  580.020410  579.431698  578.402825  576.679741  573.920016  569.753527  558.294455  556.291004 
Temperature ,  580.628561  580.597196  580.513859  580.343788  580.020409  579.431697  578.402827  576.679757  573.920094  569.753831  558.295883  556.293538 
Temperature ,  580.628561  580.597196  580.513859  580.343788  580.020408  579.431695  578.402825  576.679757  573.920116  569.753952  558.296547  556.294804 
